Date,Portfolio_All_20d_Volatility
2024-11-04,0.005019034298232789
2024-11-05,0.005358556992706767
2024-11-06,0.007172833530464232
2024-11-07,0.007115435643384584
2024-11-08,0.007002694505435502
2024-11-11,0.006948468391065209
2024-11-12,0.007100268276278022
2024-11-13,0.006959086874883271
2024-11-14,0.007086311250401833
2024-11-15,0.007334109797100126
2024-11-18,0.007202601050738547
2024-11-19,0.007228754562513012
2024-11-20,0.007154909601399611
2024-11-21,0.00744866061031885
2024-11-22,0.007431265349730903
2024-11-25,0.007539362079490591
2024-11-26,0.007446978033185521
2024-11-27,0.00740844677748178
2024-11-29,0.00708934560233228
2024-12-02,0.007143390726351082
2024-12-03,0.0072205133372421045
2024-12-04,0.0069926170031654735
2024-12-05,0.005120076544694615
2024-12-06,0.005120151884504906
2024-12-09,0.0050910812727227315
2024-12-10,0.004970918183003924
2024-12-11,0.004719840341979512
2024-12-12,0.00492553998525081
2024-12-13,0.004758735487736794
2024-12-16,0.004354647067845726
2024-12-17,0.004248077031371568
2024-12-18,0.007094881235099988
2024-12-19,0.007135515438032983
2024-12-20,0.007170286769937516
2024-12-23,0.0070975227671335635
2024-12-24,0.007199595754650213
2024-12-26,0.0072030336742323455
2024-12-27,0.007284884053887104
2024-12-30,0.007436645578101543
2024-12-31,0.007465746685942236
2025-01-02,0.0074576290058364445
2025-01-03,0.007911199337806773
2025-01-06,0.00792609184774948
2025-01-07,0.007926462803568377
2025-01-08,0.00794502331124715
2025-01-10,0.00847511792509578
2025-01-13,0.008747136007575256
2025-01-14,0.008823449688510706
2025-01-15,0.009528756274407003
2025-01-16,0.00955290386022501
2025-01-17,0.009683140530252507
2025-01-21,0.007826386192095363
2025-01-22,0.0077050306462366335
2025-01-23,0.007682272034627426
2025-01-24,0.00772204045386388
2025-01-27,0.00762705787259918
2025-01-28,0.007830710510663415
2025-01-29,0.007659188229620908
2025-01-30,0.0071514029948002225
2025-01-31,0.007326052789762799
2025-02-03,0.007363416962020016
2025-02-04,0.007155511740178997
2025-02-05,0.007174443224204721
